asset_id,title,category,filename,goal,dims,webp_kb
BM-COND-008,Greek Yoghurt Burger Sauce,condiments,BM-COND-008-greek-yoghurt-burger-sauce.webp,Recognize the lighter yoghurt-based sauce,1440x2560,163
BM-HERO-ING-001,Classic Cheeseburger Layout,heroes/ingredients,BM-HERO-ING-001-classic-cheeseburger-layout.webp,See everything needed for the classic cheeseburger,1440x2560,729
BM-HERO-ING-002,High-Protein Layout,heroes/ingredients,BM-HERO-ING-002-high-protein-layout.webp,See the high-protein build,1440x2560,766
BM-HERO-ING-003,Low-Calorie Layout,heroes/ingredients,BM-HERO-ING-003-low-calorie-layout.webp,See the low-calorie build,1440x2560,628
BM-HERO-ING-004,Steakhouse Layout,heroes/ingredients,BM-HERO-ING-004-steakhouse-layout.webp,See the steakhouse build,1440x2560,654
BM-HERO-ING-005,Smash Burger Layout,heroes/ingredients,BM-HERO-ING-005-smash-burger-layout.webp,See the smash burger build,1440x2560,670
BM-HERO-ING-006,Meal-Prep Layout,heroes/ingredients,BM-HERO-ING-006-meal-prep-layout.webp,See batch preparation made visual,1440x2560,806
BM-HERO-ING-007,Beef vs Beef-Pork Comparison,heroes/ingredients,BM-HERO-ING-007-beef-vs-beef-pork-comparison.webp,Compare beef vs beef-pork blend,1440x2560,691
BM-HERO-ING-008,Beef vs Beef-Lamb Comparison,heroes/ingredients,BM-HERO-ING-008-beef-vs-beef-lamb-comparison.webp,Compare beef vs beef-lamb blend,1440x2560,850
BM-ING-BEEF-001,80/20 Ground Chuck,ingredients/beef,BM-ING-BEEF-001-80-20-ground-chuck.webp,Recognize 80/20 chuck and its fat level,1440x2560,306
BM-ING-BEEF-002,85/15 Ground Chuck,ingredients/beef,BM-ING-BEEF-002-85-15-ground-chuck.webp,Recognize 85/15 chuck and its fat level,1440x2560,239
BM-ING-BEEF-003,90/10 Lean Beef,ingredients/beef,BM-ING-BEEF-003-90-10-lean-beef.webp,Recognize 90/10 lean beef,1440x2560,220
BM-ING-BEEF-004,95/5 Extra Lean Beef,ingredients/beef,BM-ING-BEEF-004-95-5-extra-lean-beef.webp,Recognize 95/5 extra lean beef,1440x2560,254
BM-ING-BEEF-005,Fat Percentage Comparison,ingredients/beef,BM-ING-BEEF-005-fat-percentage-comparison.webp,Compare beef fat percentages side by side,1440x2560,478
BM-ING-BEEF-006,Fat Marbling Macro,ingredients/beef,BM-ING-BEEF-006-fat-marbling-macro.webp,Recognize quality fat marbling up close,1440x2560,261
BM-ING-BEEF-007,Loose Premium Grind,ingredients/beef,BM-ING-BEEF-007-loose-premium-grind.webp,Recognize the ideal loose coarse grind,1440x2560,286
BM-ING-BEEF-008,Fine Grind Comparison,ingredients/beef,BM-ING-BEEF-008-fine-grind-comparison.webp,Distinguish coarse vs fine grind,1440x2560,366
BM-VEG-001,Tomato Slices,ingredients/vegetables,BM-VEG-001-tomato-slices.webp,Identify ideal burger tomato slices,1440x2560,206
BM-VEG-002,Iceberg Lettuce,ingredients/vegetables,BM-VEG-002-iceberg-lettuce.webp,Identify iceberg lettuce,1440x2560,228
BM-VEG-003,Butter Lettuce,ingredients/vegetables,BM-VEG-003-butter-lettuce.webp,Identify butter lettuce,1440x2560,278
BM-VEG-004,Red Onion,ingredients/vegetables,BM-VEG-004-red-onion.webp,Identify red onion,1440x2560,242
BM-VEG-005,White Onion,ingredients/vegetables,BM-VEG-005-white-onion.webp,Identify white onion,1440x2560,189
BM-VEG-006,Pickles,ingredients/vegetables,BM-VEG-006-pickles.webp,Identify burger pickles,1440x2560,249
BM-VEG-007,Jalapenos,ingredients/vegetables,BM-VEG-007-jalapenos.webp,Identify jalapenos,1440x2560,254
BM-VEG-008,Vegetable Comparison,ingredients/vegetables,BM-VEG-008-vegetable-comparison.webp,Compare all burger vegetables at a glance,1440x2560,451
